wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,2,0.3333333333333333,GABUG,5.26,31.19,35,0.481679,82.9529,-2.1317,19.8,99,5.2891,0.9013,52.968,0.0,True,28.5,4840,2.1998,1.64
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,3,0.3333333333333333,GABUG,5.26,31.19,35,0.470805,83.3377,0.174,20.2,101,5.1891,0.8792,54.22,0.0,True,27.5,4840,2.3615,1.6
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,4,0.3333333333333333,GABUG,5.26,31.19,35,0.465821,83.5141,1.2307,20.0,100,5.1891,0.888,54.406,0.0,True,28.5,4840,2.5803,1.62
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,9,0.3333333333333333,GABUG,16.49,95.45,39,1.227542,85.7528,-1.4328,36.0,540,13.5591,2.2979,68.109,0.0,True,36.0,4840,4.6924,4.49
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,10,0.3333333333333333,GABUG,16.49,95.45,39,1.240894,85.5978,-2.5361,36.2667,544,13.8091,2.3401,65.173,0.0,True,33.5,4840,5.3526,4.42
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,1,0.3333333333333333,GABUG,16.49,95.45,39,1.267059,85.2941,-4.6981,62.3333,935,13.7591,2.3468,67.319,0.0,True,35.0,40,0.1346,2.0
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,2,0.3333333333333333,GABUG,16.49,95.45,39,1.26302,85.341,-4.3643,60.8,912,13.6591,2.3473,68.056,0.0,True,36.0,40,0.1325,2.0
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,3,0.3333333333333333,GABUG,16.49,95.45,39,1.268403,85.2785,-4.8092,61.9333,929,13.6591,2.3488,68.122,0.0,True,35.0,40,0.1346,2.0
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,4,0.3333333333333333,GABUG,16.49,95.45,39,1.24778,85.5179,-3.1051,61.8667,928,13.7091,2.3591,68.981,0.0,True,33.5,40,0.1327,2.0
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,5,0.3333333333333333,GABUG,16.49,95.45,39,1.297669,84.9389,-7.2274,61.7333,926,13.8591,2.3965,66.16,0.0,True,34.0,40,0.13,2.0
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,6,0.3333333333333333,GABUG,16.49,95.45,39,1.262482,85.3472,-4.3199,61.8,927,13.6591,2.3322,68.555,0.0,True,35.0,40,0.1293,2.0
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,5,0.3333333333333333,GABUG,5.26,31.19,35,0.50059,82.2836,-6.1414,16.6,83,5.4891,0.9285,48.766,0.0,True,32.0,4840,2.3054,1.75
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,6,0.3333333333333333,GABUG,5.26,31.19,35,0.479978,83.0131,-1.771,17.6,88,5.3391,0.9076,51.239,0.0,True,29.0,4840,2.3135,1.62
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,7,0.3333333333333333,GABUG,5.26,31.19,35,0.501426,82.254,-6.3187,19.0,95,5.4891,0.9306,48.937,0.0,True,32.5,4840,2.4973,1.65
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,8,0.3333333333333333,GABUG,5.26,31.19,35,0.487852,82.7344,-3.4405,19.8,99,5.3391,0.9105,51.605,0.0,True,31.5,4840,2.7142,1.61
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,9,0.3333333333333333,GABUG,5.26,31.19,35,0.509705,81.961,-8.074,18.6,93,5.4891,0.9242,49.188,0.0,True,32.0,4840,2.7519,1.61
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,10,0.3333333333333333,GABUG,5.26,31.19,35,0.482811,82.9128,-2.3716,20.4,102,5.3391,0.9028,51.636,0.0,True,30.0,4840,2.6134,1.64
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,1,0.3333333333333333,GABUG,5.26,31.19,35,0.564497,80.0219,-19.6918,59.6,298,5.7891,0.9908,44.278,0.0,True,33.0,40,0.0496,0.76
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,2,0.3333333333333333,GABUG,5.26,31.19,35,0.561428,80.1305,-19.041,59.6,298,5.7391,0.9702,45.395,0.0,True,34.0,40,0.0499,0.76
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,1,0.3333333333333333,GABUG,5.26,31.19,35,0.479504,83.0299,-1.6705,20.8,104,5.2391,0.8852,53.501,0.0,True,30.5,4840,2.1887,1.74
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,2,0.3333333333333333,GABUG,5.26,31.19,35,0.481679,82.9529,-2.1317,19.8,99,5.2891,0.9013,52.968,0.0,True,28.5,4840,2.1972,1.64
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,3,0.3333333333333333,GABUG,5.26,31.19,35,0.470805,83.3377,0.174,20.2,101,5.1891,0.8792,54.22,0.0,True,27.5,4840,2.3379,1.6
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,4,0.3333333333333333,GABUG,5.26,31.19,35,0.465821,83.5141,1.2307,20.0,100,5.1891,0.888,54.406,0.0,True,28.5,4840,2.5524,1.62
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,5,0.3333333333333333,GABUG,5.26,31.19,35,0.50059,82.2836,-6.1414,16.6,83,5.4891,0.9285,48.766,0.0,True,32.0,4840,2.6187,1.64
google,500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,6,0.3333333333333333,GABUG,5.26,31.19,35,0.479978,83.0131,-1.771,17.6,88,5.3391,0.9076,51.239,0.0,True,29.0,4840,2.4643,1.62
