wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,4,0.3333333333333333,E26,16.49,95.45,39,1.280238,86.6703,4.1891,0.0,0,12.9591,2.1098,71.809,0.0,True,25.0,4840,3.2687,2.57
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,5,0.3333333333333333,E26,16.49,95.45,39,1.288181,86.5876,3.5947,0.0,0,12.8091,2.1048,75.419,0.0,True,25.0,4840,3.2545,2.51
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,6,0.3333333333333333,E26,16.49,95.45,39,1.299281,86.472,2.7639,0.0,0,12.9591,2.1176,74.578,0.0,True,25.0,4840,3.2192,2.39
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,7,0.3333333333333333,E26,16.49,95.45,39,1.292177,86.546,3.2956,0.0,0,12.8591,2.121,75.007,0.0,True,26.0,4840,3.2925,2.47
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,8,0.3333333333333333,E26,16.49,95.45,39,1.288966,86.5794,3.5359,0.0,0,12.8591,2.0798,78.147,0.0,True,25.0,4840,3.2647,2.63
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,9,0.3333333333333333,E26,16.49,95.45,39,1.264254,86.8367,5.3853,0.0,0,12.9091,2.1017,70.286,0.0,True,25.5,4840,3.3209,2.65
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,10,0.3333333333333333,E26,16.49,95.45,39,1.288994,86.5791,3.5338,0.0,0,12.8591,2.0985,75.894,0.0,True,25.5,4840,3.3112,2.49
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,FIFO,-,0,0.3333333333333333,E26,16.49,95.45,39,9.604388,0.0,-618.7766,0.0,0,95.9591,15.66,5.308,0.0,True,24.5,0,0.0,0.0
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,9,0.3333333333333333,E26,16.49,95.45,39,1.233256,87.1595,7.7052,0.0,0,12.8091,2.0149,67.44,0.0,True,24.5,4840,3.3135,2.73
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,WOA,carbon,10,0.3333333333333333,E26,16.49,95.45,39,1.222993,87.2663,8.4732,0.0,0,12.7091,2.0248,70.215,0.0,True,24.5,4840,3.3373,2.48
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,5,FIFO,-,0,0.3333333333333333,E26,16.49,95.45,39,11.187561,0.0,-619.7532,0.0,0,95.9591,15.66,5.308,8.9738,False,24.5,0,0.0,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,5,Consolidation,-,0,0.3333333333333333,E26,16.49,95.45,39,1.554361,86.1063,0.0,0.0,0,13.3091,2.1675,55.842,8.9738,False,24.5,0,0.0,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,5,Greedy(EDF+greenest),-,0,0.3333333333333333,E26,16.49,95.45,39,1.405192,87.4397,9.5968,0.0,0,12.9091,2.229,59.256,14.2149,False,24.5,0,0.0002,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,5,VCC(Google),-,0,0.3333333333333333,E26,16.49,95.45,39,1.554129,86.1084,0.0149,0.0,0,13.2591,2.16,59.35,0.0,True,24.5,0,0.0052,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,5,Threshold(WaitAwhile),-,0,0.3333333333333333,E26,16.49,95.45,39,1.441413,87.1159,7.2665,0.0,0,13.0591,2.2539,56.487,21.9138,False,24.5,0,0.0217,0.0
