wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,fleet,startup,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,9,0.3333333333333333,E29,32.21,189.31,41,2.076653,87.9116,7.9843,0.0,0,24.8979,4.0704,77.633,0.0,True,28.0,4840,5.8734,4.94
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,10,0.3333333333333333,E29,32.21,189.31,41,1.926062,88.7882,14.6569,0.0,0,24.5479,3.9345,78.543,0.0,True,26.5,4840,5.6961,4.69
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,FIFO,-,0,0.3333333333333333,E29,32.21,189.31,41,19.425334,0.0,-717.5915,0.0,0,216.7854,35.319,5.333,8.1908,False,24.5,0,0.0,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,Consolidation,-,0,0.3333333333333333,E29,32.21,189.31,41,2.375922,87.769,0.0,0.0,0,26.2854,4.284,66.586,8.1908,False,24.5,0,0.0,0.0
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,Threshold(WaitAwhile),-,0,0.3333333333333333,E29,32.21,189.31,41,2.190346,82.0413,4.7281,0.0,0,25.3507,4.1161,75.225,28.5433,False,25.5,0,0.0428,0.0
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,random,1,0.3333333333333333,E29,32.21,189.31,41,2.302582,81.1211,-0.1537,0.0,0,26.4085,4.3308,83.29,0.0,True,27.0,4840,7.7402,4.86
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,random,2,0.3333333333333333,E29,32.21,189.31,41,2.305501,81.0972,-0.2807,0.0,0,26.5673,4.3711,82.738,0.0,True,27.0,4840,7.6358,4.58
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,random,3,0.3333333333333333,E29,32.21,189.31,41,2.316746,81.005,-0.7698,0.0,0,26.6605,4.3711,80.947,0.0,True,28.0,4840,7.5929,5.02
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,random,4,0.3333333333333333,E29,32.21,189.31,41,2.318923,80.9871,-0.8645,0.0,0,26.5583,4.3425,82.373,0.0,True,27.0,4840,7.5343,4.44
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,random,5,0.3333333333333333,E29,32.21,189.31,41,2.317788,80.9964,-0.8151,0.0,0,26.7086,4.3775,82.822,0.0,True,28.0,4840,7.5604,5.11
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,random,6,0.3333333333333333,E29,32.21,189.31,41,2.317392,80.9997,-0.7979,0.0,0,26.6589,4.3657,83.925,0.0,True,27.0,4840,7.6107,5.01
google,3000,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,random,7,0.3333333333333333,E29,32.21,189.31,41,2.317383,80.9998,-0.7975,0.0,0,26.6205,4.3786,83.376,0.0,True,27.0,4840,7.4099,4.9
