wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,fleet,startup,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,WOA,random,10,0.3333333333333333,E29,16.49,95.45,39,0.938131,77.5723,14.7731,0.0,0,10.6754,1.7533,75.293,0.0,True,26.5,4840,6.318,2.44
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,WOA,carbon,1,0.3333333333333333,E29,16.49,95.45,39,0.854561,79.5702,22.3651,0.0,0,11.1101,1.7735,69.179,0.0,True,26.5,4840,6.2281,2.54
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,WOA,carbon,2,0.3333333333333333,E29,16.49,95.45,39,0.865792,79.3017,21.3448,0.0,0,11.2062,1.7994,64.719,0.0,True,26.5,4840,6.2681,2.63
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,WOA,carbon,3,0.3333333333333333,E29,16.49,95.45,39,0.863174,79.3643,21.5827,0.0,0,11.1649,1.7836,66.391,0.0,True,26.5,4840,6.2532,2.51
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,WOA,carbon,4,0.3333333333333333,E29,16.49,95.45,39,0.865308,79.3133,21.3888,0.0,0,11.048,1.7679,69.75,0.0,True,26.0,4840,6.1933,2.7
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,WOA,carbon,5,0.3333333333333333,E29,16.49,95.45,39,0.863116,79.3657,21.588,0.0,0,11.2278,1.793,67.679,0.0,True,26.5,4840,6.3471,2.46
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,WOA,carbon,6,0.3333333333333333,E29,16.49,95.45,39,0.876484,79.0461,20.3735,0.0,0,11.3056,1.8129,61.224,0.0,True,27.0,4840,6.3344,2.4
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,WOA,carbon,7,0.3333333333333333,E29,16.49,95.45,39,0.869612,79.2104,20.9978,0.0,0,11.2253,1.8091,66.584,0.0,True,26.5,4840,6.2321,2.66
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,WOA,carbon,8,0.3333333333333333,E29,16.49,95.45,39,0.874959,79.0826,20.5121,0.0,0,11.411,1.8389,65.75,0.0,True,27.0,4840,6.2574,2.38
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,WOA,carbon,9,0.3333333333333333,E29,16.49,95.45,39,0.877129,79.0307,20.3149,0.0,0,11.3086,1.8327,59.387,0.0,True,26.5,4840,6.2795,2.49
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,low,WOA,carbon,10,0.3333333333333333,E29,16.49,95.45,39,0.860146,79.4367,21.8578,0.0,0,11.0891,1.7823,65.35,0.0,True,26.5,4840,6.2882,2.5
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,random,4,0.3333333333333333,E29,16.49,95.45,39,0.997432,86.7885,21.8509,0.0,0,11.2654,1.8539,71.153,0.0,True,27.0,4840,6.3383,2.48
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,random,5,0.3333333333333333,E29,16.49,95.45,39,0.973515,87.1053,23.7248,0.0,0,11.0554,1.8154,74.237,0.0,True,27.5,4840,6.2414,2.51
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,random,6,0.3333333333333333,E29,16.49,95.45,39,0.984677,86.9575,22.8502,0.0,0,11.2154,1.8375,74.702,0.0,True,26.0,4840,6.3768,2.51
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,random,7,0.3333333333333333,E29,16.49,95.45,39,0.975118,87.0841,23.5992,0.0,0,11.1054,1.8272,74.332,0.0,True,27.0,4840,6.3444,2.64
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,random,8,0.3333333333333333,E29,16.49,95.45,39,0.991323,86.8694,22.3295,0.0,0,11.1604,1.8313,70.575,0.0,True,27.0,4840,6.3194,2.44
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,random,9,0.3333333333333333,E29,16.49,95.45,39,0.984297,86.9625,22.88,0.0,0,11.1604,1.8251,73.658,0.0,True,26.0,4840,6.2749,2.44
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,random,10,0.3333333333333333,E29,16.49,95.45,39,0.970356,87.1472,23.9723,0.0,0,11.1554,1.8215,73.687,0.0,True,26.5,4840,6.3206,2.52
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,carbon,1,0.3333333333333333,E29,16.49,95.45,39,0.951336,87.3991,25.4625,0.0,0,12.1781,1.949,67.321,0.0,True,26.0,4840,6.258,2.43
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,carbon,2,0.3333333333333333,E29,16.49,95.45,39,0.966976,87.1919,24.2371,0.0,0,12.4466,2.0055,69.068,0.0,True,26.5,4840,6.2036,2.68
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,carbon,3,0.3333333333333333,E29,16.49,95.45,39,0.97416,87.0968,23.6743,0.0,0,12.7017,2.0336,68.065,0.0,True,26.0,4840,6.2456,2.6
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,high,WOA,carbon,4,0.3333333333333333,E29,16.49,95.45,39,0.99462,86.8258,22.0712,0.0,0,11.2254,1.8362,68.204,0.0,True,27.5,4840,6.3166,2.41
