N,M,power,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
1500,20,cubic,CA-WOA,GA,30,89.274,"[89.25, 89.30]",87.672,"[87.62, 87.73]",1.602,2.07e-40,3.02e-11,13.43,1.0,YES
1500,20,cubic,CA-WOA,GWO,30,89.274,"[89.25, 89.30]",87.977,"[87.94, 88.02]",1.296,9.99e-46,3.02e-11,13.44,1.0,YES
1500,20,cubic,CA-WOA,HHO,30,89.274,"[89.25, 89.30]",88.048,"[87.99, 88.11]",1.225,9.37e-35,3.02e-11,10.05,1.0,YES
1500,20,cubic,CA-WOA,PSO,30,89.274,"[89.25, 89.30]",87.678,"[87.63, 87.72]",1.596,2.43e-46,3.02e-11,15.32,1.0,YES
1500,20,cubic,CA-WOA,WOA,30,89.274,"[89.25, 89.30]",87.817,"[87.75, 87.88]",1.457,1.15e-35,3.02e-11,11.23,1.0,YES
1500,20,linear,CA-WOA,DE,30,88.852,"[88.82, 88.88]",85.789,"[85.72, 85.85]",3.062,2.97e-48,3.02e-11,22.85,1.0,YES
1500,20,linear,CA-WOA,GA,30,88.852,"[88.82, 88.88]",85.731,"[85.68, 85.78]",3.121,3.71e-57,3.02e-11,27.72,1.0,YES
1500,20,linear,CA-WOA,GWO,30,88.852,"[88.82, 88.88]",86.658,"[86.61, 86.71]",2.193,4.35e-52,3.02e-11,20.23,1.0,YES
1500,20,linear,CA-WOA,HHO,30,88.852,"[88.82, 88.88]",86.827,"[86.76, 86.89]",2.025,2.84e-39,3.02e-11,14.4,1.0,YES
1500,20,linear,CA-WOA,PSO,30,88.852,"[88.82, 88.88]",85.75,"[85.69, 85.81]",3.101,2.83e-49,3.02e-11,23.57,1.0,YES
1500,20,linear,CA-WOA,WOA,30,88.852,"[88.82, 88.88]",86.375,"[86.32, 86.43]",2.476,6.91e-48,3.02e-11,20.01,1.0,YES
1500,20,piecewise,CA-WOA,DE,30,89.157,"[89.13, 89.19]",85.889,"[85.83, 85.95]",3.268,1.46e-53,3.02e-11,25.69,1.0,YES
1500,20,piecewise,CA-WOA,GA,30,89.157,"[89.13, 89.19]",85.86,"[85.81, 85.91]",3.297,1.04e-58,3.02e-11,28.37,1.0,YES
1500,20,piecewise,CA-WOA,GWO,30,89.157,"[89.13, 89.19]",86.929,"[86.88, 86.97]",2.228,5.47e-57,3.02e-11,21.47,1.0,YES
1500,20,piecewise,CA-WOA,HHO,30,89.157,"[89.13, 89.19]",87.046,"[86.98, 87.11]",2.111,2.58e-43,3.02e-11,15.87,1.0,YES
1500,20,piecewise,CA-WOA,PSO,30,89.157,"[89.13, 89.19]",85.877,"[85.81, 85.95]",3.28,1.53e-47,3.02e-11,22.56,1.0,YES
1500,20,piecewise,CA-WOA,WOA,30,89.157,"[89.13, 89.19]",86.594,"[86.53, 86.66]",2.563,3.83e-44,3.02e-11,18.04,1.0,YES
3000,10,cubic,CA-WOA,DE,30,88.086,"[88.05, 88.12]",87.725,"[87.70, 87.75]",0.361,6.95e-24,3.02e-11,4.39,1.0,YES
